"logFC","logCPM","LR","PValue","FDR","gene","avg_log2FC"
-0.694983606236207,9.61291587579644,11.1282007796137,0.000850250262655334,0.0351600571281979,"THSD4",-0.694983606236207
-0.733479931242905,9.07118284923595,11.1196001137827,0.000854202014870011,0.0351600571281979,"RNASEK",-0.733479931242905
0.466429384712172,9.6304547965469,11.0453640279352,0.000889092438845913,0.0362393305717257,"TBC1D22A",0.466429384712172
-0.576333178768604,9.4069681604429,11.039762409594,0.000891782899649049,0.0362393305717257,"LAMB1",-0.576333178768604
-0.495583018999277,9.5389395368375,11.0197351610921,0.000901469496232522,0.0364011100377436,"CLTC",-0.495583018999277
0.668857376653579,9.02811570673332,10.9313477385557,0.000945506896881231,0.0375248246703393,"ING5",0.668857376653579
-0.710179955982345,9.09871139932696,10.9290732971103,0.000946668360295941,0.0375248246703393,"UCK2",-0.710179955982345
-0.62506458089029,9.20063398235065,10.9285357625688,0.000946943067699786,0.0375248246703393,"RALY",-0.62506458089029
-0.747130526477425,9.01650913126858,10.9008160278306,0.000961219055160734,0.0377462876162318,"ASB7",-0.747130526477425
0.55076088937913,9.26445483940807,10.8874132080199,0.000968199519698457,0.0377462876162318,"BTAF1",0.55076088937913
0.574433144686293,9.34744149924567,10.8797197626191,0.000972229558376526,0.0377462876162318,"ZNHIT6",0.574433144686293
-0.511647163974964,9.51205127054263,10.8721770742141,0.000976197093523237,0.0377462876162318,"CAMSAP2",-0.511647163974964
-0.737405812665714,9.0702363666646,10.8577672471189,0.000983822393529457,0.0378119691007105,"PRPF40B",-0.737405812665714
-0.595544559777977,9.28939247114094,10.8177981687872,0.00100528972746902,0.0384056794086966,"RNF145",-0.595544559777977
-0.64812099511288,9.19400619402311,10.782840024518,0.00102445377961465,0.0389048518686992,"SANBR",-0.64812099511288
-0.694818017394345,9.04737055238895,10.7557036372428,0.00103958434984921,0.039245847053479,"CCT8",-0.694818017394345
-0.763823819427443,8.98167075526161,10.6878785713037,0.00107839800109481,0.040471642629323,"STRBP",-0.763823819427443
-0.579546679561075,9.69058417253746,10.6442803569248,0.00110411836279389,0.0411945915475147,"ACTG1",-0.579546679561075
-0.675168268957001,9.02550453504167,10.6195871238994,0.00111896028540631,0.0413842540155842,"ZNF433-AS1",-0.675168268957001
-0.686903567585824,9.05330300744889,10.6039260254481,0.00112847786094551,0.0413842540155842,"NAB1",-0.686903567585824
0.667835051781975,9.0395491460164,10.6036252084539,0.0011286614731523,0.0413842540155842,"GTPBP2",0.667835051781975
0.627994953885022,9.1356185272914,10.5623743818347,0.00115412851372208,0.0419699769235168,"PDCD10",0.627994953885022
-0.672640343429277,9.00311580781204,10.5565155027464,0.00115779246685564,0.0419699769235168,"UBA1",-0.672640343429277
-0.680682756839581,9.02673788032362,10.5350448874758,0.00117132037551889,0.0422204745526017,"LAMTOR5-AS1",-0.680682756839581
-0.705784999797848,8.99869339020993,10.5002193640413,0.00119360373218278,0.0427819764681242,"INTS6L",-0.705784999797848
-0.654960653694975,8.99875976111657,10.4875392202381,0.00120182332233475,0.0428359374105904,"DCTN5",-0.654960653694975
-0.537029813102541,9.3351416183501,10.462715083145,0.00121808116857401,0.0429211489032231,"NCOR2",-0.537029813102541
0.808230809077544,8.96325875805613,10.4611559309666,0.00121910968713951,0.0429211489032231,"ZSWIM5",0.808230809077544
-0.495629224929055,9.48663726719027,10.4531626269238,0.0012243964107189,0.0429211489032231,"PDCD6IP",-0.495629224929055
-0.699371164368278,8.96872340143461,10.4402374586936,0.0012329941750691,0.0429863543002234,"NDUFB4",-0.699371164368278
-0.77240849324815,9.00582241907816,10.420500657381,0.00124624104533345,0.0432120536371056,"TMEM47",-0.77240849324815
0.670855764994453,8.99377748857624,10.3937877020642,0.00126439986062246,0.0436047087068718,"ZSCAN26",0.670855764994453
0.668498010208147,9.01501316825358,10.3568438775318,0.00128995554969602,0.0440323275295876,"HSD17B12",0.668498010208147
0.363790660426563,9.83348386388347,10.3502954425524,0.00129453964546145,0.0440323275295876,"NF1",0.363790660426563
-0.707552642922544,9.08287232532578,10.3392746898662,0.0013022917518146,0.0440323275295876,"PRPF38B",-0.707552642922544
-0.644193085125865,9.14153586060357,10.3362805836668,0.00130440594092352,0.0440323275295876,"STAU1",-0.644193085125865
0.484482905539578,10.4707958331572,10.2823655816728,0.00134307642648606,0.0450990926367423,"LDB2",0.484482905539578
-0.666619782211391,9.0388378286005,10.2614001925741,0.00135842540107132,0.045375675700707,"SYAP1",-0.666619782211391
-0.692918636744424,9.11497244723011,10.2048117394723,0.00140074691144222,0.046545652578132,"DISC1",-0.692918636744424
-0.726711844789418,9.20470772462715,10.1662259352731,0.00143036772505816,0.0472836584760157,"CFL1",-0.726711844789418
0.492219222854586,11.0967037087135,10.1510951816408,0.00144215541106524,0.0474275851680219,"SOX5",0.492219222854586
-0.4607416576667,9.64341681333892,10.1183310627059,0.00146801870251719,0.0480305606259469,"FARP1",-0.4607416576667
-0.694618074300498,8.98084665715387,10.0822538459356,0.00149704106119951,0.0485808041826923,"SOCS7",-0.694618074300498
0.694119577957707,9.5305104215572,10.078534939356,0.00150006558369755,0.0485808041826923,"NETO2",0.694119577957707
0.66146012388815,9.05427214595446,10.0511747050981,0.00152250826924056,0.0490585997866403,"TALDO1",0.66146012388815
0.659839347042489,8.97484794710821,10.037626405109,0.00153374707101373,0.0491723935330031,"POLR3F",0.659839347042489
-0.534548410822588,10.4338323659122,9.99071733927622,0.00157331303740401,0.0500106645292069,"CHSY3",-0.534548410822588
-0.694423949539795,9.06282222817933,9.98807636582671,0.00157557109253458,0.0500106645292069,"PSMA6",-0.694423949539795
-0.668311941744041,8.9715670257547,9.97293336700557,0.00158858200875696,0.0501740258211356,"SNHG32",-0.668311941744041
0.546753710301034,9.28200618742674,9.94656521566958,0.00161149793090359,0.0506470778283984,"SLC35F5",0.546753710301034
-0.667661655031536,9.03117892622258,9.93026760054966,0.00162582895763467,0.0508470036750449,"CLPX",-0.667661655031536
-0.514355397792142,9.56899970254755,9.9192610108455,0.00163558038592557,0.0509024529863666,"PXDN",-0.514355397792142
0.596242151733658,9.1874959216912,9.89911033647741,0.00165358693970317,0.0512130324043992,"R3HCC1L",0.596242151733658
-0.748776341602502,9.05964139061825,9.88777538665124,0.00166380392665155,0.0512805268214344,"EEIG2",-0.748776341602502
0.711507212544859,9.03106689753786,9.87028080695268,0.001679698705203,0.0514133881781873,"BNIP3",0.711507212544859
-0.663830374340639,8.95830889226064,9.8653223179831,0.00168423168169924,0.0514133881781873,"LRP4",-0.663830374340639
-1.05757582448111,8.96334005478041,9.84139609176981,0.00170627949601584,0.0518383961170526,"EDA",-1.05757582448111
-0.706168773124162,8.99522543074327,9.8066371587683,0.00173883171518591,0.0521318542267075,"DIMT1",-0.706168773124162
-0.74168278768655,9.07750170351771,9.80642814431258,0.00173902935168018,0.0521318542267075,"FLNB",-0.74168278768655
0.72373905145079,9.09639951287686,9.79991774945154,0.00174519675488526,0.0521318542267075,"DRAM1",0.72373905145079
0.645264661254362,8.99487286674711,9.79631068399567,0.00174862332359176,0.0521318542267075,"AKIRIN1",0.645264661254362
-0.899988515218314,9.13754517474969,9.78520059006507,0.0017592203692954,0.0522038416563007,"PENK",-0.899988515218314
0.493068015771246,9.52351140663762,9.7547522031266,0.0017885974992471,0.0526773548461899,"XRN1",0.493068015771246
-0.637555014002428,9.15966180815377,9.75157584993849,0.00179169059586571,0.0526773548461899,"HCG17",-0.637555014002428
-0.842212927175492,9.1369232141491,9.73477794589269,0.00180813857193636,0.0529170829768531,"ENOX1",-0.842212927175492
-0.586709118140213,9.26498679825917,9.71399709977823,0.00182869845595077,0.0532744116391139,"XIAP",-0.586709118140213
-0.626361059094705,9.01272333900844,9.70172276243943,0.00184095342486854,0.0533876493211878,"STX3",-0.626361059094705
-0.438389660688757,9.63387603563509,9.68025309996369,0.00186258970258621,0.0537706891515839,"CACNA2D1",-0.438389660688757
-0.662156145061033,9.18841531893716,9.66723597843168,0.00187583317073567,0.0539090794112324,"RPL7A",-0.662156145061033
0.642463217275981,9.03595019684469,9.6580444235525,0.00188524200806016,0.0539365202306001,"STAMBP",0.642463217275981
0.59891368186508,9.57005044623942,9.64394382511568,0.00189976900861942,0.054109492299071,"NRP2",0.59891368186508
0.690779110605657,9.12600111661096,9.62374446607373,0.00192077714167017,0.0544647029504697,"SLFN5",0.690779110605657
1.28734773114995,9.07296633914414,9.61324576610266,0.00193178905965303,0.054534576108789,"LRMDA",1.28734773114995
-0.659940283293428,9.00839590693199,9.54668408882446,0.0020031095455361,0.0560608905099286,"C11orf24",-0.659940283293428
-0.664616441226172,8.97645782174305,9.54396666776637,0.00200607731803067,0.0560608905099286,"ENSG00000261327",-0.664616441226172
-0.689475008068305,8.98327908975859,9.53198335824027,0.00201921790006364,0.0560608905099286,"YAE1",-0.689475008068305
-0.482106246685751,9.50159082193841,9.53036076462445,0.00202100388985636,0.0560608905099286,"RAB7A",-0.482106246685751
0.672323353512017,9.06785121009838,9.52203188096314,0.00203019674125266,0.0560721004726924,"HINT1",0.672323353512017
0.492769106018657,9.4113082457775,9.49523441044744,0.00206006262762318,0.0564758854864708,"RAP1GDS1",0.492769106018657
-0.636042298800877,9.00445836978431,9.4890457980614,0.00206702295167118,0.0564758854864708,"ZNF700",-0.636042298800877
0.460586023207386,10.0998535257784,9.48518912553595,0.00207137260248184,0.0564758854864708,"PLOD2",0.460586023207386
-0.57278988114625,9.3053499563023,9.44844813329723,0.00211327829033255,0.0569224102658961,"RPS24",-0.57278988114625
-0.676886426059827,9.10616335371098,9.44259853301935,0.00212002907266641,0.0569224102658961,"MOB1B",-0.676886426059827
